User,Retained_Target_Col,Day0Tutorial,Version,Day0LostCount,Day0MaxLevel,Day0SectionCount,Day0SectionLength,Day0WinCount,MaxDayDiff,MinDayDiff
000d804d-2355-4d95-8df0-f398ab36f02b,No,Completed,1.6.0,23,16,1,1195,15,0,0
001d1cb6-d8a8-4775-90d7-32f045e2bfb8,No,Completed,1.6.0,8,11,2,463,10,0,0
001dc732-0804-4fbb-882b-b46383206a10,No,Completed,1.6.0,1,10,1,168,10,0,0
00245d84-12e2-4f38-8811-409b77163367,Yes,Completed,1.5.2,29,13,1,930,12,1,0
00296159-d89c-4efc-8e93-471cd23460c5,Yes,Completed,1.6.0,0,1,1,22,1,7,0
003168a9-93ce-4015-a68f-a781a4fea1bd,No,Completed,1.5.2,0,2,1,44,2,0,0
0033fefb-bc1c-4a81-9edf-ed22bdc7d3c8,Yes,Completed,1.5.2,1,5,2,173,4,7,0
0035cf01-160b-455e-b843-9e45f7067562,No,Completed,1.5.2,1,5,1,95,4,0,0
0036d4b1-784e-43da-9695-b4f7ba54a305,No,Completed,1.5.2,0,6,1,179,6,0,0
003f71bc-3fda-4288-940a-ad8aead74ad3,No,Completed,1.5.2,2,7,1,162,6,0,0
005600e9-233a-4ecb-b865-b31e7ae5e0b3,No,Completed,1.5.2,6,8,1,236,8,0,0
006b9d55-fa58-43d6-a180-ab3bff9d48aa,No,Completed,1.5.2,0,1,1,0,0,0,0
006c6a21-74ac-44fa-ac0e-5d598e78e6df,No,Completed,1.5.2,1,3,2,67,2,0,0
0073cf80-8d33-4c66-8378-83773dfbe3a3,Yes,Completed,1.5.2,1,2,1,45,2,1,0
0079280b-07bd-4b50-98ac-a255af88179f,Yes,Completed,1.6.0,0,4,1,22,4,6,0
007a0641-0058-4c1f-9805-0a7fd35cb712,Yes,Completed,1.5.2,1,4,1,40,4,2,0
007a8d4a-f0e3-422f-b6c1-049ad67f5ea6,Yes,Completed,1.6.0,3,5,1,126,5,3,0
007e4ab6-6b64-4cf2-8e6f-58b5f3c537e1,No,Completed,1.5.2,2,7,1,111,7,0,0
007f464563b82d7b6a9f7be73f2914f2,No,Completed,1.5.2,0,6,2,68,5,0,0
0081f0e5430e8f8150641accb90c2720,No,Completed,1.6.0,2,6,2,85,5,0,0
00828a77d6e38a55325c3e0e417e56de,No,Completed,1.5.2,1,2,1,48,2,0,0
0085aa35-e520-4b17-ae5c-fed7e1db0b9e,No,Completed,1.5.2,0,9,1,107,9,0,0
0089f915-8e6d-4b29-beff-69bc097f2c68,Yes,Completed,1.5.2,0,3,1,51,3,1,0
008b01db6f1a27029c952c86fc498cc7,Yes,Completed,1.5.2,5,8,2,247,7,1,0
009dc45b-6406-4d25-8ee7-f881d315b7e8,No,Completed,1.6.0,0,2,1,13,2,0,0
00a36b59-06b0-4e70-9213-5d4ae83fa0a9,No,Completed,1.5.2,1,4,1,65,4,0,0
00ac7178-a0ea-4380-9c54-fe8d7274cf5e,Yes,Completed,1.5.2,7,7,2,269,7,1,0
00ae230c-185f-4d8c-811a-3c452eaf5f14,No,Completed,1.5.2,3,3,1,60,2,0,0
00b0da20-aa99-4720-b5c5-b083ecd0a3b3,Yes,Completed,1.5.2,0,7,2,107,6,2,0
00b179b9-a080-4db1-8e89-bdc8166ff071,No,Completed,1.6.0,1,4,1,53,4,0,0
00b66e44-c031-42d4-9a5b-346849326ef3,Yes,Completed,1.5.2,1,7,1,183,6,1,0
00b74768793d7e3ca552d328a1aa7243,Yes,Completed,1.6.0,15,21,3,1258,20,2,0
00b892e1-8ad8-4394-bcef-2f8be2c1eec7,No,Completed,1.6.0,3,5,2,156,4,0,0
00b9ee71-6bc5-4880-a4f3-071069f9f972,No,Completed,1.5.2,2,7,2,146,6,0,0
00bbce5a-3598-4b91-85b4-f97577ccd634,No,Completed,1.5.2,1,2,1,27,2,0,0
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,Yes,Completed,1.5.2,0,41,1,1880,41,6,0
00c13ee5-8e2f-420e-9dc1-ff51cd4b2d8d,Yes,Completed,1.6.0,0,3,1,60,3,1,0
00c27228-af23-4106-87bd-a1c4e3fef901,No,Completed,1.6.0,0,2,1,58,2,0,0
00c5bbf76b902568dd4f1fd1b123f350,Yes,Completed,1.6.0,0,3,1,55,3,2,0
00cc6265-8611-4947-ba6c-af3d580b3cf2,Yes,Completed,1.6.0,1,7,3,154,6,1,0
00cce37f-caee-430c-b15c-ab3642b4ebdc,No,Completed,1.6.0,0,3,1,22,3,0,0
00d277fd-cf95-433c-9396-c6af3f02cc21,No,Completed,1.5.2,0,3,1,37,3,0,0
00d723a3-212b-4152-95d9-bc32be94d35e,Yes,Completed,1.6.0,2,6,2,114,6,2,0
00dad328f66a87c7982b8dc6bfeaa3fd,No,Completed,1.5.2,12,11,1,407,10,0,0
00e14741-47fc-4776-84aa-56cc1d1747b8,No,Completed,1.5.2,0,2,2,62,2,0,0
00e2b76f-ce85-4e43-8775-a2e17772bb1f,No,Completed,1.5.2,11,7,1,294,6,0,0
00ebf9d8d85d9a62a52502dcfdfa043d,No,Completed,1.5.2,0,6,1,60,6,0,0
00ed5707-a5be-4968-b12a-57e63e925b36,Yes,Completed,1.5.2,1,8,1,270,7,5,0
00ef8578e526571830860b2efec3fbe2,No,Completed,1.5.2,2,1,1,123,0,0,0
00f6c041-8487-42bb-bfec-2995aed8f5a8,Yes,Completed,1.6.0,1,2,1,35,2,3,0
00f6e0cb-7b26-4087-9a56-683d6ff1e9d2,No,Completed,1.5.2,1,2,1,46,2,0,0
00f82a75d3d542e47c47a81968d9f17c,Yes,Completed,1.5.2,0,6,1,122,6,3,0
00fe9ba6-3f53-436b-9d0f-48e3fbd1d443,Yes,Completed,1.6.0,1,4,1,64,3,1,0
010e7814-bd83-4b62-a53a-aed0bb52e014,No,Completed,1.6.0,0,5,1,83,5,0,0
01187bd3-8da6-4c66-8b9c-857bfb1503c8,No,Completed,1.6.0,0,9,1,255,9,0,0
0121416dcc7286b06ce30b7b8f12b930,Yes,Completed,1.6.0,1,2,1,84,2,2,0
012b17a8-57e7-4927-913c-7ae08977a183,No,Completed,1.5.2,7,11,1,451,10,0,0
012c98f9-f375-4d09-b203-9488476a67fa,No,Completed,1.5.2,11,7,2,408,6,0,0
012dbab9-6d7c-48ef-9e68-c788f256d85f,No,Completed,1.5.2,4,10,1,209,10,0,0
01328c3c-6127-44dc-9b48-bafcfe36f7eb,No,Completed,1.5.2,0,2,1,13,2,0,0
01340b55-49e6-466c-9cfb-47a867016a71,Yes,Completed,1.5.2,4,10,2,175,9,5,0
01348245-230b-404d-96a0-f4640f45c5aa,No,Completed,1.5.2,5,12,3,407,11,0,0
0137fb71-05bf-4d6a-af46-57269351fbc5,Yes,Completed,1.6.0,0,14,1,339,14,4,0
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,Yes,Completed,1.5.2,25,13,1,1649,12,6,0
013e9ac9-37e9-4b6d-a0e7-b84c1332c8c6,No,Completed,1.5.2,7,11,4,332,10,0,0
0146d9b6-7688-4147-a88e-66290b3dae12,No,Completed,1.5.2,4,7,1,140,6,0,0
015268e7-be44-4bd8-a693-61eb3a79c6c7,No,Completed,1.5.2,0,7,1,92,7,0,0
015436a3-43e0-49b3-a831-e0448bc1cd88,Yes,Completed,1.5.2,5,8,2,302,7,2,0
